timestamp,ear,perclos,blink_rate,blink_duration,pitch,yaw,roll,mar,label
1778858564.720,0.2697,0.0000,0.00,250.0,2.60,12.64,0.93,0.1398,0.1000
1778858564.786,0.2712,0.0000,0.00,250.0,2.39,13.05,0.88,0.1359,0.1000
1778858564.819,0.2759,0.0000,0.00,250.0,2.37,13.28,0.85,0.1370,0.1000
1778858564.852,0.2790,0.0000,0.00,250.0,2.32,13.33,0.84,0.1383,0.1000
1778858564.886,0.2799,0.0000,0.00,250.0,2.30,13.33,0.83,0.1394,0.1000
1778858564.919,0.2809,0.0000,0.00,250.0,2.26,13.17,0.83,0.1400,0.1000
1778858564.952,0.2816,0.0000,0.00,250.0,2.24,13.10,0.82,0.1397,0.1000
1778858564.986,0.2817,0.0000,0.00,250.0,2.26,13.25,0.78,0.1397,0.1000
1778858565.019,0.2822,0.0000,0.00,250.0,2.29,13.29,0.73,0.1399,0.1000
1778858565.053,0.2828,0.0000,0.00,250.0,2.28,13.39,0.69,0.1401,0.1000
1778858565.086,0.2833,0.0000,0.00,250.0,2.28,13.54,0.65,0.1407,0.1000
1778858565.119,0.2836,0.0000,0.00,250.0,2.27,13.69,0.64,0.1413,0.1000
1778858565.152,0.2839,0.0000,0.00,250.0,2.25,13.78,0.63,0.1415,0.1000
1778858565.186,0.2841,0.0000,0.00,250.0,2.25,13.89,0.63,0.1414,0.1000
1778858565.219,0.2839,0.0000,0.00,250.0,2.25,13.84,0.63,0.1409,0.1000
1778858565.252,0.2840,0.0000,0.00,250.0,2.24,13.90,0.63,0.1408,0.1000
1778858565.286,0.2842,0.0000,0.00,250.0,2.21,13.91,0.63,0.1408,0.1000
1778858565.319,0.2842,0.0000,0.00,250.0,2.20,13.93,0.62,0.1409,0.1000
1778858565.352,0.2844,0.0000,0.00,250.0,2.17,13.93,0.62,0.1408,0.1000
1778858565.386,0.2850,0.0000,0.00,250.0,2.10,13.89,0.62,0.1406,0.1000
1778858565.419,0.2857,0.0000,0.00,250.0,2.08,13.86,0.61,0.1407,0.1000
1778858565.452,0.2834,0.0000,0.00,250.0,2.03,14.09,0.56,0.1415,0.1000
1778858565.486,0.2894,0.0000,0.00,250.0,2.06,14.46,0.53,0.1422,0.1000
1778858565.519,0.2943,0.0000,0.00,250.0,2.09,14.59,0.53,0.1425,0.1000
1778858565.552,0.2984,0.0000,0.00,250.0,2.08,14.77,0.52,0.1427,0.1000
1778858565.586,0.3015,0.0000,0.00,250.0,2.09,14.85,0.54,0.1427,0.1000
1778858565.619,0.3042,0.0000,0.00,250.0,2.10,14.92,0.54,0.1430,0.1000
1778858565.653,0.3056,0.0000,0.00,250.0,2.07,14.76,0.59,0.1422,0.1000
1778858565.686,0.3065,0.0000,0.00,250.0,2.07,14.74,0.63,0.1416,0.1000
1778858565.720,0.3068,0.0000,0.00,250.0,2.08,14.75,0.65,0.1417,0.1000
1778858565.753,0.3069,0.0000,0.00,250.0,2.08,14.71,0.67,0.1416,0.1000
1778858565.792,0.3069,0.0000,0.00,250.0,2.10,14.75,0.68,0.1419,0.1000
1778858565.853,0.3075,0.0000,0.00,250.0,2.22,14.80,0.70,0.1411,0.1000
1778858565.886,0.3082,0.0000,0.00,250.0,2.27,14.81,0.70,0.1405,0.1000
1778858565.919,0.3079,0.0000,0.00,250.0,2.35,14.77,0.72,0.1402,0.1000
1778858565.953,0.3084,0.0000,0.00,250.0,2.39,14.79,0.72,0.1391,0.1000
1778858565.986,0.3096,0.0000,0.00,250.0,2.42,14.92,0.73,0.1386,0.1000
1778858566.019,0.3100,0.0000,0.00,250.0,2.50,14.90,0.79,0.1387,0.1000
1778858566.053,0.3053,0.0000,0.00,250.0,2.46,14.84,0.83,0.1384,0.1000
1778858566.086,0.2939,0.0000,0.00,250.0,2.39,14.68,0.83,0.1385,0.1000
1778858566.119,0.2894,0.0000,0.00,250.0,2.29,14.53,0.83,0.1390,0.1000
1778858566.153,0.2863,0.0000,0.00,250.0,2.23,14.46,0.82,0.1397,0.1000
1778858566.186,0.2837,0.0000,0.00,250.0,2.19,14.39,0.81,0.1406,0.1000
1778858566.219,0.2826,0.0000,0.00,250.0,2.15,14.31,0.82,0.1408,0.1000
1778858566.253,0.2818,0.0000,0.00,250.0,2.21,14.23,0.84,0.1404,0.1000
1778858566.286,0.2801,0.0000,0.00,250.0,2.29,14.19,0.87,0.1400,0.1000
1778858566.319,0.2785,0.0000,0.00,250.0,2.34,14.10,0.88,0.1402,0.1000
1778858566.354,0.2779,0.0000,0.00,250.0,2.43,14.09,0.89,0.1393,0.1000
1778858566.386,0.2775,0.0000,0.00,250.0,2.48,14.09,0.90,0.1386,0.1000
1778858566.419,0.2784,0.0000,0.00,250.0,2.46,14.07,0.89,0.1389,0.1000
1778858566.453,0.2787,0.0000,0.00,250.0,2.46,14.08,0.89,0.1388,0.1000
1778858566.486,0.2778,0.0000,0.00,250.0,2.51,13.98,0.90,0.1384,0.1000
1778858566.520,0.2754,0.0000,0.00,250.0,2.55,13.93,0.90,0.1392,0.1000
1778858566.553,0.2742,0.0000,0.00,250.0,2.60,13.86,0.90,0.1377,0.1000
1778858566.586,0.2764,0.0000,0.00,250.0,2.54,13.71,0.87,0.1381,0.1000
1778858566.620,0.2744,0.0000,0.00,250.0,2.65,13.64,0.87,0.1381,0.1000
1778858566.653,0.2739,0.0000,0.00,250.0,2.79,13.32,0.91,0.1369,0.1000
1778858566.687,0.2755,0.0000,0.00,250.0,2.73,13.19,0.85,0.1380,0.1000
1778858566.719,0.2764,0.0000,0.00,250.0,2.73,12.81,0.83,0.1361,0.1000
1778858566.753,0.2770,0.0000,0.00,250.0,3.01,12.16,0.76,0.1342,0.1000
1778858566.786,0.2802,0.0000,0.00,250.0,3.35,11.66,0.74,0.1358,0.1000
1778858566.819,0.2839,0.0000,0.00,250.0,3.46,11.37,0.69,0.1360,0.1000
1778858566.853,0.2859,0.0000,0.00,250.0,3.50,11.12,0.72,0.1346,0.1000
1778858566.886,0.2852,0.0000,0.00,250.0,3.56,11.43,0.64,0.1366,0.1000
1778858566.920,0.2850,0.0000,0.00,250.0,3.74,12.02,0.51,0.1396,0.1000
1778858566.953,0.2862,0.0000,0.00,250.0,3.72,12.29,0.45,0.1398,0.1000
1778858566.986,0.2872,0.0000,0.00,250.0,3.82,13.09,0.34,0.1403,0.1000
1778858567.020,0.2879,0.0000,0.00,250.0,3.85,13.40,0.24,0.1390,0.1000
1778858567.053,0.2881,0.0000,0.00,250.0,3.83,13.73,0.18,0.1385,0.1000
1778858567.086,0.2875,0.0000,0.00,250.0,3.75,13.45,0.19,0.1385,0.1000
1778858567.119,0.2878,0.0000,0.00,250.0,3.65,13.46,0.21,0.1387,0.1000
1778858567.154,0.2880,0.0000,0.00,250.0,3.60,13.30,0.22,0.1385,0.1000
1778858567.186,0.2878,0.0000,0.00,250.0,3.57,13.30,0.22,0.1385,0.1000
1778858567.220,0.2873,0.0000,0.00,250.0,3.52,13.27,0.22,0.1382,0.1000
1778858567.253,0.2868,0.0000,0.00,250.0,3.46,13.16,0.24,0.1379,0.1000
1778858567.287,0.2870,0.0000,0.00,250.0,3.42,13.08,0.26,0.1376,0.1000
1778858567.320,0.2863,0.0000,0.00,250.0,3.38,13.06,0.27,0.1377,0.1000
1778858567.353,0.2860,0.0000,0.00,250.0,3.37,13.17,0.26,0.1377,0.1000
1778858567.386,0.2828,0.0000,0.00,250.0,3.34,13.05,0.28,0.1374,0.1000
1778858567.420,0.2811,0.0000,0.00,250.0,3.31,12.77,0.30,0.1373,0.1000
1778858567.453,0.2784,0.0000,0.00,250.0,3.27,12.27,0.32,0.1368,0.1000
1778858567.486,0.2771,0.0000,0.00,250.0,3.22,11.82,0.34,0.1370,0.1000
1778858567.520,0.2753,0.0000,0.00,250.0,3.21,11.70,0.34,0.1373,0.1000
1778858567.553,0.2749,0.0000,0.00,250.0,3.16,11.32,0.36,0.1372,0.1000
1778858567.587,0.2748,0.0000,0.00,250.0,3.12,11.13,0.37,0.1370,0.1000
1778858567.620,0.2748,0.0000,0.00,250.0,3.11,11.16,0.36,0.1370,0.1000
1778858567.653,0.2749,0.0000,0.00,250.0,3.10,11.34,0.35,0.1373,0.1000
1778858567.687,0.2746,0.0000,0.00,250.0,3.07,11.42,0.36,0.1374,0.1000
1778858567.720,0.2736,0.0000,0.00,250.0,3.06,11.51,0.38,0.1376,0.1000
1778858567.753,0.2743,0.0000,0.00,250.0,2.98,12.17,0.44,0.1381,0.1000
1778858567.786,0.2744,0.0000,0.00,250.0,2.95,12.51,0.49,0.1373,0.1000
1778858567.820,0.2750,0.0000,0.00,250.0,2.97,12.62,0.53,0.1365,0.1000
1778858567.853,0.2763,0.0000,0.00,250.0,2.97,12.74,0.56,0.1357,0.1000
1778858567.887,0.2773,0.0000,0.00,250.0,2.98,12.85,0.57,0.1350,0.1000
1778858567.920,0.2782,0.0000,0.00,250.0,3.00,12.98,0.61,0.1350,0.1000
1778858567.953,0.2787,0.0000,0.00,250.0,2.99,12.98,0.66,0.1348,0.1000
1778858567.987,0.2786,0.0000,0.00,250.0,3.00,12.97,0.69,0.1346,0.1000
1778858568.020,0.2787,0.0000,0.00,250.0,3.02,12.94,0.69,0.1345,0.1000
1778858568.053,0.2792,0.0000,0.00,250.0,3.04,13.00,0.69,0.1347,0.1000
1778858568.087,0.2799,0.0000,0.00,250.0,3.07,13.07,0.69,0.1349,0.1000
1778858568.120,0.2807,0.0000,0.00,250.0,3.11,13.19,0.68,0.1353,0.1000
1778858568.153,0.2814,0.0000,0.00,250.0,3.13,13.28,0.68,0.1352,0.1000
1778858568.187,0.2823,0.0000,0.00,250.0,3.14,13.28,0.69,0.1352,0.1000
1778858568.220,0.2829,0.0000,0.00,250.0,3.15,13.27,0.69,0.1351,0.1000
1778858568.254,0.2835,0.0000,0.00,250.0,3.16,13.23,0.70,0.1351,0.1000
1778858568.287,0.2840,0.0000,0.00,250.0,3.16,13.21,0.70,0.1350,0.1000
1778858568.320,0.2845,0.0000,0.00,250.0,3.16,13.21,0.70,0.1352,0.1000
1778858568.354,0.2848,0.0000,0.00,250.0,3.16,13.19,0.70,0.1352,0.1000
1778858568.387,0.2851,0.0000,0.00,250.0,3.16,13.18,0.70,0.1353,0.1000
1778858568.420,0.2853,0.0000,0.00,250.0,3.17,13.04,0.71,0.1350,0.1000
1778858568.454,0.2853,0.0000,0.00,250.0,3.22,12.94,0.73,0.1347,0.1000
1778858568.487,0.2851,0.0000,0.00,250.0,3.33,12.91,0.75,0.1343,0.1000
1778858568.520,0.2852,0.0000,0.00,250.0,3.35,12.88,0.76,0.1342,0.1000
1778858568.553,0.2853,0.0000,0.00,250.0,3.38,12.87,0.77,0.1341,0.1000
1778858568.587,0.2855,0.0000,0.00,250.0,3.42,12.89,0.76,0.1349,0.1000
1778858568.620,0.2855,0.0000,0.00,250.0,3.43,12.86,0.74,0.1352,0.1000
1778858568.654,0.2858,0.0000,0.00,250.0,3.42,12.85,0.71,0.1356,0.1000
1778858568.687,0.2861,0.0000,0.00,250.0,3.42,12.82,0.70,0.1360,0.1000
1778858568.720,0.2864,0.0000,0.00,250.0,3.41,12.84,0.68,0.1364,0.1000
1778858568.754,0.2865,0.0000,0.00,250.0,3.39,12.87,0.67,0.1366,0.1000
1778858568.787,0.2865,0.0000,0.00,250.0,3.38,12.87,0.67,0.1367,0.1000
1778858568.820,0.2864,0.0000,0.00,250.0,3.38,12.92,0.67,0.1368,0.1000
1778858568.854,0.2864,0.0000,0.00,250.0,3.37,13.00,0.66,0.1369,0.1000
1778858568.888,0.2865,0.0000,0.00,250.0,3.29,13.24,0.67,0.1373,0.1000
1778858568.921,0.2862,0.0000,0.00,250.0,3.20,13.39,0.68,0.1375,0.1000
1778858568.954,0.2857,0.0000,0.00,250.0,3.10,13.47,0.70,0.1376,0.1000
1778858568.987,0.2855,0.0000,0.00,250.0,3.04,13.34,0.70,0.1378,0.1000
1778858569.021,0.2853,0.0000,0.00,250.0,3.00,13.35,0.71,0.1381,0.1000
1778858569.056,0.2848,0.0000,0.00,250.0,2.97,13.43,0.72,0.1380,0.1000
1778858569.122,0.2847,0.0000,0.00,250.0,2.95,13.60,0.72,0.1383,0.1000
1778858569.156,0.2845,0.0000,0.00,250.0,2.93,13.63,0.72,0.1380,0.1000
1778858569.189,0.2841,0.0000,0.00,250.0,2.90,13.57,0.73,0.1380,0.1000
1778858569.223,0.2841,0.0000,0.00,250.0,2.90,13.59,0.72,0.1378,0.1000
1778858569.256,0.2842,0.0000,0.00,250.0,2.87,13.64,0.72,0.1380,0.1000
1778858569.288,0.2840,0.0000,0.00,250.0,2.85,13.61,0.73,0.1380,0.1000
1778858569.323,0.2839,0.0000,0.00,250.0,2.84,13.64,0.72,0.1382,0.1000
1778858569.358,0.2840,0.0000,0.00,250.0,2.84,13.68,0.72,0.1382,0.1000
1778858569.393,0.2844,0.0000,0.00,250.0,2.84,13.70,0.71,0.1385,0.1000
1778858569.424,0.2843,0.0000,0.00,250.0,2.78,13.71,0.70,0.1394,0.1000
1778858569.460,0.2843,0.0000,0.00,250.0,2.72,13.74,0.67,0.1405,0.1000
1778858569.490,0.2845,0.0000,0.00,250.0,2.67,13.77,0.64,0.1412,0.1000
1778858569.529,0.2854,0.0000,0.00,250.0,2.66,13.77,0.62,0.1418,0.1000
1778858569.627,0.2820,0.0000,0.00,250.0,2.83,13.09,0.50,0.1413,0.1000
1778858569.679,0.2813,0.0000,0.00,250.0,2.93,12.81,0.43,0.1411,0.1000
1778858569.723,0.2811,0.0000,0.00,250.0,3.15,12.61,0.39,0.1401,0.1000
1778858569.760,0.2812,0.0000,0.00,250.0,3.23,12.38,0.37,0.1399,0.1000
1778858569.824,0.2819,0.0000,0.00,250.0,3.42,12.24,0.37,0.1390,0.1000
1778858569.861,0.2823,0.0000,0.00,250.0,3.46,12.17,0.36,0.1389,0.1000
1778858569.929,0.2833,0.0000,0.00,250.0,3.51,12.07,0.36,0.1388,0.1000
1778858569.998,0.2836,0.0000,0.00,250.0,3.53,12.02,0.36,0.1390,0.1000
1778858570.059,0.2838,0.0000,0.00,250.0,3.52,11.98,0.37,0.1395,0.1000
1778858570.091,0.2840,0.0000,0.00,250.0,3.52,11.97,0.36,0.1396,0.1000
1778858570.126,0.2841,0.0000,0.00,250.0,3.51,11.95,0.37,0.1397,0.1000
1778858570.159,0.2844,0.0000,0.00,250.0,3.50,11.92,0.38,0.1402,0.1000
1778858570.192,0.2846,0.0000,0.00,250.0,3.50,11.90,0.38,0.1406,0.1000
1778858570.227,0.2847,0.0000,0.00,250.0,3.49,11.88,0.39,0.1406,0.1000
1778858570.258,0.2847,0.0000,0.00,250.0,3.50,11.80,0.39,0.1407,0.1000
1778858570.296,0.2848,0.0000,0.00,250.0,3.52,11.81,0.37,0.1409,0.1000
1778858570.360,0.2865,0.0000,0.00,250.0,3.54,11.83,0.31,0.1407,0.1000
1778858570.428,0.2866,0.0000,0.00,250.0,3.55,11.85,0.28,0.1407,0.1000
1778858570.494,0.2863,0.0000,0.00,250.0,3.56,12.00,0.26,0.1408,0.1000
1778858570.566,0.2866,0.0000,0.00,250.0,3.55,11.96,0.27,0.1404,0.1000
1778858570.631,0.2868,0.0000,0.00,250.0,3.53,11.94,0.29,0.1406,0.1000
1778858570.697,0.2871,0.0000,0.00,250.0,3.50,11.89,0.31,0.1407,0.1000
1778858570.763,0.2821,0.0000,0.00,250.0,3.38,12.16,0.38,0.1410,0.1000
1778858570.828,0.2789,0.0000,0.00,250.0,3.32,12.33,0.40,0.1415,0.1000
1778858570.897,0.2775,0.0000,0.00,250.0,3.26,12.36,0.41,0.1419,0.1000
