timestamp,ear,perclos,blink_rate,blink_duration,pitch,yaw,roll,mar,label
1779201951.052,0.2596,0.0000,0.00,250.0,3.11,18.96,-0.43,0.1640,0.1000
1779201951.116,0.2653,0.0000,0.00,250.0,2.82,18.85,-0.71,0.1631,0.1000
1779201951.150,0.2749,0.0000,0.00,250.0,2.16,20.19,-1.15,0.1630,0.1000
1779201951.183,0.2716,0.0000,0.00,250.0,2.49,21.64,-1.26,0.1643,0.1000
1779201951.217,0.2709,0.0000,0.00,250.0,2.48,21.72,-1.31,0.1660,0.1000
1779201951.250,0.2655,0.0000,0.00,250.0,2.31,21.51,-1.38,0.1647,0.1000
1779201951.283,0.2654,0.0000,0.00,250.0,2.27,21.07,-1.36,0.1638,0.1000
1779201951.317,0.2653,0.0000,0.00,250.0,2.27,21.26,-1.29,0.1655,0.1000
1779201951.350,0.2630,0.0000,0.00,250.0,2.14,20.95,-1.16,0.1640,0.1000
1779201951.383,0.2630,0.0000,0.00,250.0,2.26,21.03,-1.13,0.1660,0.1000
1779201951.417,0.2628,0.0000,0.00,250.0,1.83,21.31,-1.13,0.1743,0.1000
1779201951.450,0.2674,0.0000,0.00,250.0,2.19,21.18,-1.30,0.1655,0.1000
1779201951.484,0.2663,0.0000,0.00,250.0,2.21,21.23,-1.53,0.1657,0.1000
1779201951.517,0.2661,0.0000,0.00,250.0,2.27,21.15,-1.79,0.1633,0.1000
1779201951.550,0.2653,0.0000,0.00,250.0,2.47,21.51,-1.95,0.1722,0.1000
1779201951.583,0.2630,0.0000,0.00,250.0,2.43,21.82,-2.11,0.1768,0.1000
1779201951.617,0.2639,0.0000,0.00,250.0,2.36,21.18,-2.12,0.1744,0.1000
1779201951.650,0.2733,0.0000,0.00,250.0,2.57,20.92,-1.90,0.1789,0.1000
1779201951.684,0.2783,0.0000,0.00,250.0,3.08,20.52,-1.72,0.1732,0.1000
1779201951.717,0.2738,0.0000,0.00,250.0,3.15,20.21,-1.68,0.1678,0.1000
1779201951.751,0.2661,0.0000,0.00,250.0,3.45,19.69,-1.61,0.1640,0.1000
1779201951.784,0.2671,0.0000,0.00,250.0,3.49,18.73,-1.75,0.1657,0.1000
1779201951.817,0.2691,0.0000,0.00,250.0,3.56,18.59,-2.01,0.1660,0.1000
1779201951.851,0.2628,0.0000,0.00,250.0,3.33,18.37,-2.28,0.1644,0.1000
1779201951.884,0.2166,0.0000,0.00,250.0,2.68,17.96,-2.47,0.1669,0.1000
1779201951.917,0.1802,0.0385,0.00,250.0,2.52,18.04,-2.63,0.1679,0.1000
1779201951.951,0.1879,0.0370,0.00,250.0,2.55,18.08,-2.68,0.1655,0.1000
1779201951.984,0.2093,0.0357,0.00,250.0,2.93,17.81,-2.84,0.1683,0.1000
1779201952.018,0.2427,0.0345,0.00,250.0,3.37,17.03,-2.93,0.1623,0.1000
1779201952.051,0.2515,0.0333,0.00,250.0,3.36,15.70,-2.85,0.1550,0.1000
1779201952.084,0.2587,0.0323,0.00,250.0,3.49,14.55,-2.82,0.1497,0.1000
1779201952.118,0.2602,0.0312,0.00,250.0,3.25,14.33,-2.84,0.1551,0.1000
1779201952.151,0.2647,0.0303,0.00,250.0,3.44,14.28,-2.97,0.1535,0.1000
1779201952.185,0.2623,0.0294,0.00,250.0,3.50,13.99,-2.90,0.1537,0.1000
1779201952.218,0.2628,0.0286,0.00,250.0,3.29,14.33,-2.85,0.1525,0.1000
1779201952.251,0.2590,0.0278,0.00,250.0,2.76,14.45,-2.91,0.1548,0.1000
1779201952.284,0.2722,0.0270,0.00,250.0,2.98,14.49,-2.81,0.1526,0.1000
1779201952.318,0.2883,0.0263,0.00,250.0,3.03,13.65,-2.66,0.1541,0.1000
1779201952.351,0.2955,0.0256,0.00,250.0,2.76,12.79,-2.44,0.1539,0.1000
1779201952.385,0.2908,0.0250,0.00,250.0,2.54,12.29,-2.39,0.1521,0.1000
1779201952.418,0.2888,0.0244,0.00,250.0,2.43,12.79,-2.15,0.1537,0.1000
1779201952.451,0.2860,0.0238,0.00,250.0,2.38,13.38,-1.92,0.1558,0.1000
1779201952.484,0.2833,0.0233,0.00,250.0,2.05,13.20,-1.63,0.1584,0.1000
1779201952.518,0.2827,0.0227,0.00,250.0,1.78,13.29,-1.44,0.1589,0.1000
1779201952.551,0.2851,0.0222,0.00,250.0,1.64,13.43,-1.15,0.1623,0.1000
1779201952.584,0.2855,0.0217,0.00,250.0,1.50,13.31,-0.95,0.1613,0.1000
1779201952.618,0.2852,0.0213,0.00,250.0,1.33,13.56,-0.81,0.1601,0.1000
1779201952.651,0.2895,0.0208,0.00,250.0,1.37,14.25,-0.87,0.1639,0.1000
1779201952.685,0.2911,0.0204,0.00,250.0,1.44,13.62,-0.89,0.1654,0.1000
1779201952.718,0.2952,0.0200,0.00,250.0,1.40,13.52,-1.03,0.1653,0.1000
1779201952.751,0.2958,0.0196,0.00,250.0,1.50,13.70,-1.22,0.1655,0.1000
1779201952.785,0.2935,0.0192,0.00,250.0,1.52,14.13,-1.43,0.1651,0.1000
1779201952.818,0.2886,0.0189,0.00,250.0,1.48,13.75,-1.58,0.1640,0.1000
1779201952.851,0.2873,0.0185,0.00,250.0,1.80,14.87,-1.80,0.1668,0.1000
1779201952.885,0.2891,0.0182,0.00,250.0,1.64,15.41,-1.77,0.1654,0.1000
1779201952.918,0.2884,0.0179,0.00,250.0,1.44,15.09,-1.79,0.1694,0.1000
1779201952.951,0.2896,0.0175,0.00,250.0,1.30,14.51,-1.74,0.1688,0.1000
1779201952.985,0.2920,0.0172,0.00,250.0,1.17,13.30,-1.31,0.1721,0.1000
1779201953.018,0.2964,0.0169,0.00,250.0,1.22,13.48,-1.11,0.1738,0.1000
1779201953.051,0.2970,0.0167,0.00,250.0,0.84,13.26,-1.17,0.1732,0.1000
1779201953.085,0.2950,0.0164,0.00,250.0,0.85,13.06,-1.20,0.1757,0.1000
1779201953.118,0.2933,0.0161,0.00,250.0,0.81,13.03,-1.36,0.1773,0.1000
1779201953.154,0.2933,0.0159,0.00,250.0,1.00,12.99,-1.46,0.1764,0.1000
1779201953.185,0.2921,0.0156,0.00,250.0,1.07,13.24,-1.56,0.1752,0.1000
1779201953.218,0.2913,0.0154,0.00,250.0,1.09,12.86,-1.59,0.1749,0.1000
1779201953.251,0.2923,0.0152,0.00,250.0,1.11,12.97,-1.74,0.1763,0.1000
1779201953.318,0.2964,0.0149,0.00,250.0,1.07,12.13,-1.92,0.1761,0.1000
1779201953.352,0.2910,0.0147,0.00,250.0,1.00,11.61,-1.97,0.1788,0.1000
1779201953.385,0.2931,0.0145,0.00,250.0,0.67,11.65,-2.26,0.1791,0.1000
1779201953.419,0.2896,0.0143,0.00,250.0,0.43,11.44,-2.37,0.1737,0.1000
1779201953.452,0.2908,0.0141,0.00,250.0,0.53,11.46,-2.26,0.1711,0.1000
1779201953.485,0.2923,0.0139,0.00,250.0,0.65,11.32,-2.11,0.1684,0.1000
1779201953.519,0.2918,0.0137,0.00,250.0,0.60,10.63,-1.89,0.1719,0.1000
1779201953.552,0.2929,0.0135,0.00,250.0,0.54,10.20,-1.72,0.1762,0.1000
1779201953.586,0.2929,0.0133,0.00,250.0,0.73,10.00,-1.57,0.1774,0.1000
1779201953.619,0.2912,0.0132,0.00,250.0,0.70,9.60,-1.47,0.1762,0.1000
1779201953.652,0.2893,0.0130,0.00,250.0,0.65,9.50,-1.45,0.1751,0.1000
1779201953.685,0.2884,0.0128,0.00,250.0,0.76,9.67,-1.45,0.1748,0.1000
1779201953.718,0.2893,0.0127,0.00,250.0,0.81,9.89,-1.46,0.1714,0.1000
1779201953.751,0.2893,0.0125,0.00,250.0,0.78,9.82,-1.46,0.1689,0.1000
1779201953.785,0.2896,0.0123,0.00,250.0,0.89,10.08,-1.47,0.1672,0.1000
1779201953.818,0.2896,0.0122,0.00,250.0,1.28,10.61,-1.44,0.1627,0.1000
1779201953.852,0.2883,0.0120,0.00,250.0,1.50,10.93,-1.43,0.1621,0.1000
1779201953.886,0.2885,0.0119,0.00,250.0,1.65,10.95,-1.37,0.1623,0.1000
1779201953.919,0.2871,0.0118,0.00,250.0,1.94,11.08,-1.30,0.1599,0.1000
